function,description,sqliteDbAverage (ns),mockDbAverage (ns)
int-to-str,"(int-to-str 16 10)
",5934.534750489587,5913.407463449469
interface,"(interface my-interface
  (defun say-hello:string (name:string))
)

(module some-random-module GOV
  (implements my-interface)
  (defcap GOV ()
    true
  )

  (defun say-hello:string (name:string)
    name)
)
",85594.92553459997,51835.75364565591
is-charset,"(is-charset CHARSET_ASCII ""hello world"")
",5591.6161912213165,5281.935216232756
is-charset,"(is-charset CHARSET_ASCII ""I am nÖt ascii"")
",5568.667262134601,5452.93522883027
is-charset,"(is-charset CHARSET_LATIN1 ""I am nÖt ascii, but I am latin1!"")
",5619.07938925404,5614.255061453601
keylog,"(keylog accounts.accounts ""someId"" 0)
",30284.167423792165,7016.627419188789
keys,"(keys accounts.accounts)
",28506.462567426643,6518.590282691036
keys-2,"(keys-2 3 1)
",5243.508082346633,5135.290312708156
keys-all,"(keys-all 3 3)
",5454.833772157222,5486.223816768099
keys-any,"(keys-any 10 1)
",5568.517170455486,5527.784503054317
keyset-ref-guard,"(keyset-ref-guard ""some-loaded-keyset"")
",21378.42301048011,5172.969019154542
length,"(length longNumberList)
",2969877.9986725207,2981771.5037078294
length,"(length medNumberList)
",21325.341134939365,21505.073793313728
length,"(length smallNumberList)
",7949.904839726747,7905.181575792662
length,"(length longString)
",17009.58846953705,17006.90977210464
length,"(length medString)
",5449.096070019073,5422.008432028698
length,"(length smallString)
",5303.325160697744,5277.007015057803
length,"(length longOjectMap)
",8312796.130845818,8265204.130897127
length,"(length medOjectMap)
",29791.01350791204,29272.43999184133
length,"(length smallOjectMap)
",8015.205769984376,8162.048528264503
list-modules,"(list-modules)
",22818.52164694481,4839.137143079046
ln,"(ln longNumber)
",17062.303364961826,17011.241606110852
ln,"(ln medNumber)
",17429.92522437241,17412.329039455704
ln,"(ln smallNumber)
",17665.54314934448,17379.39199832521
ln,"(ln longNumber.1)
",18463.015836371094,18176.91508502701
ln,"(ln medNumber.1)
",18461.50171387795,18186.565484732408
ln,"(ln smallNumber.1)
",18791.28240652771,18286.37696912396
log,"(log 2 longNumber)
",5563.40075395512,5339.315717357439
log,"(log 2 medNumber)
",5611.905381367494,5558.49560886453
log,"(log 2 smallNumber)
",5521.02122398229,5392.240675519969
log,"(log 2 longNumber.1)
",19160.80445772095,18943.32818094468
log,"(log 2 medNumber.1)
",19268.841978719163,19571.375394297156
log,"(log 2 smallNumber.1)
",19097.2761107845,19154.609709632405
make-list,"(make-list longNumber true)
",669693.9381708981,669704.3234532011
make-list,"(make-list medNumber true)
",11024.932555368587,10957.355940101435
make-list,"(make-list smallNumber true)
",6191.277544435777,6101.094149365861
map,"(map (identity) longNumberList)
",7850070.806159173,7851094.292533037
map,"(map (identity) medNumberList)
",67887.01514553584,67622.37112655483
map,"(map (identity) smallNumberList)
",13167.904464391162,13051.786530545112
minutes,"(minutes longNumber)
",12796.88453043535,12932.824315833686
minutes,"(minutes medNumber)
",12998.220820237731,12748.140222127195
minutes,"(minutes smallNumber)
",13180.934346907947,13048.57542178523
mod,"(mod longNumber 2)
",5517.312191061526,5454.412864727103
mod,"(mod medNumber 2)
",5530.555845381452,5448.961537627022
mod,"(mod smallNumber 2)
",5504.584470895924,5450.448122555983
module,"(module some-random-module GOV
  (defcap GOV ()
    true ))
",283584.58424986666,19976.912842714908
module,"(module accounts GOV [...some module code ...]) update module
",461257.2480074141,117874.09326974461
namespace,"(namespace 'my-namespace)
",34360.62605828152,6590.9522567546155
not,"(not true)
",5256.034295590388,5222.54506146167
not?,"(not? (identity) true)
",5884.511911517213,5798.711638490123
or,"(or false false)
",5077.296823974488,5104.9736469030695
or?,"(or? (identity) (identity) true)
",6084.710603464271,5995.022999259094
pact-id,"(pact-id)
",4901.573198796231,4939.747608273487
pact-version,"(pact-version)
",5048.566696714534,4983.692487013245
parse-time,"(parse-time ""%F"" ""2016-07-22"")
",8467.596766791728,8266.82914369471
parse-time,"(parse-time ""%Y-%m-%dT%H:%M:%S%N"" ""2016-07-23T13:30:45+00:00"")
",10488.281127756507,10323.331244748735
read,"(read accounts.accounts ""someId"")
",29226.72893043787,7861.646509840683
read-decimal,"(read-decimal ""amount"")
 with amount=longDecimal",6821.065168757455,6732.225643677961
read-decimal,"(read-decimal ""amount"")
 with amount=medDecimal",6595.656007327995,6552.6277988233605
read-decimal,"(read-decimal ""amount"")
 with amount=smallDecimal",6364.220413545332,6340.090716188058
read-integer,"(read-integer ""amount"")
 with amount=longNumber",5505.791844138821,5507.308673083769
read-integer,"(read-integer ""amount"")
 with amount=medNumber",5522.893581217082,5505.152591001771
read-integer,"(read-integer ""amount"")
 with amount=smallNumber",5568.903675127018,5500.4299597510035
read-keyset,"(read-keyset 'my-keyset)
",7022.786238266402,6841.605323684368
read-msg,"(read-msg)
 with msg=longObjectMap",7.845828185357998e7,7.87536542252721e7
read-msg,"(read-msg)
 with msg=medObjectMap",628744.323563722,627832.0318904086
read-msg,"(read-msg)
 with msg=smallObjectMap",72011.68873305789,72347.80801192533
read-string,"(read-string ""name"")
 with name=longString",5510.614510787974,5420.311315899103
read-string,"(read-string ""name"")
 with name=medString",5463.605765570158,5453.945240264354
read-string,"(read-string ""name"")
 with name=smallString",5387.930885382098,5358.905452903564
remove,"(remove ""a1"" longOjectMap)
",1.0051955215152236e7,1.002847965481361e7
remove,"(remove ""a1"" medOjectMap)
",37439.888100030636,37440.6220115243
remove,"(remove ""a1"" smallOjectMap)
",8935.813802472503,8616.382985524635
require-capability,"(require-capability (accounts.GOV))
",6337.89664261942,6236.032405557947
resume,"(resume longBinding a1)
",2.0647185306512833e7,2.095300233896877e7
resume,"(resume medBinding a1)
",52732.56130895924,53345.88579912049
resume,"(resume smallBinding a1)
",5460.058896925348,5376.19601014907
resume,"(resume longBinding a1)
 with provenance",2.0679468632649314e7,2.047032083645028e7
resume,"(resume medBinding a1)
 with provenance",60856.724019253954,59688.61738961813
resume,"(resume smallBinding a1)
 with provenance",10457.649778517973,10245.963674345412
reverse,"(reverse longNumberList)
",3651295.9248739793,3642999.5776893906
reverse,"(reverse medNumberList)
",26782.413981232967,26374.648875374038
reverse,"(reverse smallNumberList)
",8613.218373374864,8249.41017395466
round,"(round longNumber.12345)
",7904.5049180399465,7833.056602807325
round,"(round medNumber.12345)
",7931.123395960588,7789.108809926071
round,"(round smallNumber.12345)
",7928.806061578049,7853.102719496055
round,"(round longNumber.12345 4)
",6769.787339204406,6658.714597032678
round,"(round medNumber.12345 4)
",6903.581463482514,6531.761717572245
round,"(round smallNumber.12345 4)
",6810.445340326155,6717.737016663422
select,"(select accounts.accounts
  (where ""balance"" (constantly true))
)
",64300.74110877232,6965.279119112354
shift,"(shift 2 longNumber)
",5650.328028947707,5563.159999073853
shift,"(shift 2 medNumber)
",5550.9009467120295,5448.905410343358
shift,"(shift 2 smallNumber)
",5504.1653811568285,5400.7443391363195
shift,"(shift -2 longNumber)
",5437.897919023373,5246.732816984085
shift,"(shift -2 medNumber)
",5376.266071020859,5222.970994666294
shift,"(shift -2 smallNumber)
",5445.128688176496,5333.639630516747
sort,"(sort longNumberList)
",5608113.997432959,5568171.726643474
sort,"(sort medNumberList)
",35844.52836959695,36042.579175536965
sort,"(sort smallNumberList)
",9697.595237240052,9669.964299326246
sqrt,"(sqrt longNumber)
",12015.350016428556,11912.268829257453
sqrt,"(sqrt medNumber)
",12193.245815770315,12815.978205290585
sqrt,"(sqrt smallNumber)
",17332.62280807455,17181.46271609246
sqrt,"(sqrt longNumber.1)
",17421.118379225416,17291.34143219994
sqrt,"(sqrt medNumber.1)
",17943.416246909794,18170.35765281291
sqrt,"(sqrt smallNumber.1)
",17905.68658477251,17774.76347933155
str-to-int,"(str-to-int ""10000"")
",5659.094956868669,5552.714948605441
str-to-int,"(str-to-int ""100"")
",5614.5156591846435,5531.876076761284
str-to-int,"(str-to-int ""10"")
",5481.297180049573,5408.546212319977
str-to-int,"(str-to-int 16 ""186A0"")
",5933.6746834372825,5868.002868195923
str-to-int,"(str-to-int 16 ""64"")
",5689.44667969209,5656.128716921997
str-to-int,"(str-to-int 16 ""a"")
",5636.857771245347,5575.995774482942
str-to-int,"(str-to-int 2 ""11000011010100000"")
",6575.065895935409,6648.496016061376
str-to-int,"(str-to-int 2 ""1100100"")
",6126.789293217623,6090.693218705394
str-to-int,"(str-to-int 2 ""1010"")
",5627.905812925576,5595.510765787054
str-to-int,"(str-to-int 64 ""AYag"")
",5442.616951301549,5433.3169514232
str-to-int,"(str-to-int 64 ""ZA"")
",5066.838767989232,5151.259503665601
str-to-int,"(str-to-int 64 ""Cg"")
",5162.7458925621695,5213.421428543483
take,"(take 1 longNumberList)
",2962184.060711703,2946219.289001358
take,"(take 1 medNumberList)
",21937.428557737818,21903.904601189948
take,"(take 1 smallNumberList)
",7800.057059894891,8033.459386144677
take,"(take -1 longNumberList)
",2960122.9060079344,2961778.825081228
take,"(take -1 medNumberList)
",22395.025538985716,22087.875197872985
take,"(take -1 smallNumberList)
",8364.489568819656,8108.752028406389
take,"(take longEscapedStrList longOjectMap)
",2.7724228336749703e7,2.7973681583062816e7
take,"(take medEscapedStrList medOjectMap)
",92436.68123557906,93250.64043112852
take,"(take smallEscapedStrList smallOjectMap)
",15064.167296912354,14898.035759573138
take,"(take [""a1""] longOjectMap)
",8578270.639135735,8669373.55445903
take,"(take [""a1""] medOjectMap)
",35155.87175676312,34337.07435792831
take,"(take [""a1""] smallOjectMap)
",10842.796849907934,10261.713033045688
time,"(time ""2016-07-22T12:00:00Z"")
",8514.48920102944,8532.908892439089
try,"(try true (enforce true ""this will definitely pass""))
",6349.744504471182,6331.739817681807
try,"(try true (enforce false ""this will definitely fail""))
",6456.948793164247,6565.6733803164525
tx-hash,"(tx-hash)
",4826.178565282196,4699.75983361836
txids,"(txids accounts.accounts 0)
",29852.173400087893,6871.502796238281
txlog,"(txlog accounts.accounts 0)
",11369.86836427075,6255.462256777205
typeof,"(typeof longOjectMap)
",8290055.668049918,8301883.172256529
typeof,"(typeof medOjectMap)
",33479.01245651424,32913.70309266727
typeof,"(typeof smallOjectMap)
",9606.056022047362,9321.186158161996
typeof,"(typeof longString)
",6088.845681957424,6050.729414934261
typeof,"(typeof medString)
",5887.1148795459485,6032.409270389023
typeof,"(typeof smallString)
",6074.416295080933,5956.175503165851
typeof,"(typeof longNumberList)
",2965455.8147286237,2983828.6822695336
typeof,"(typeof medNumberList)
",23976.75070241951,24120.88366765519
typeof,"(typeof smallNumberList)
",9734.395514324753,9645.906924561563
typeof,"(typeof longNumber)
",6170.795257544712,6073.107975102051
typeof,"(typeof medNumber)
",6089.58869620677,6091.6493440317545
typeof,"(typeof smallNumber)
",6145.806674322324,6098.496341142917
update,"(update accounts.accounts
        ""someId""
        { ""balance"": 10.0 }
)
",66863.36514213389,8759.271727409729
use,"(use accounts)
",10040.167683316082,10145.088577536675
validate-keypair,"(validate-keypair
""8520f0098930a754748b7ddcb43ef75a0dbf3a0d26381af4eba4a98eaa9b4e6a""
""77076d0a7318a57d3c16c17251b26645df4c2f87ebc0992ab177fba51db92c2a"")
",75697.88616925843,75821.40406799986
where,"(where ""a1"" (constantly true) longOjectMap)
",7572111.212135854,7724088.756351832
where,"(where ""a1"" (constantly true) medOjectMap)
",31651.088026287234,31256.426866740807
where,"(where ""a1"" (constantly true) smallOjectMap)
",8681.010533425906,8029.280326664281
with-capability,"(accounts.test-with-cap-func)
",8523.48829623151,8330.580437673934
with-default-read,"(with-default-read
   accounts.accounts
   ""someId""
   { ""balance"": 1.0 }
   { ""balance"":= bal }
   bal
)
",37890.339204423864,11141.238314613443
with-read,"(with-read
   accounts.accounts
   ""someId""
   { ""balance"":= bal }
   bal
)
",36787.78331046616,9962.311536819485
write,"(write accounts.accounts
       ""some-id-that-is-not-present""
       { ""balance"": 0.0 }
)
",65018.29349815858,8769.057767639179
xor,"(xor 2 longNumber)
",5537.559248993319,5555.08896544847
xor,"(xor 2 medNumber)
",5549.640038380254,5556.848190613538
xor,"(xor 2 smallNumber)
",5379.598372587776,5377.286458018326
yield,"(yield longOjectMap)
",1.251792877649323e7,1.2462082347929316e7
yield,"(yield medOjectMap)
",45891.75381247544,45242.21912618226
yield,"(yield smallOjectMap)
",10303.581409053428,10025.189086563832
yield,"(yield longOjectMap ""some-chain-id"")
",1.2395204610616336e7,1.2481664985297086e7
yield,"(yield medOjectMap ""some-chain-id"")
",38290.24722514159,38630.58218116145
yield,"(yield smallOjectMap ""some-chain-id"")
",4848.952213593158,4789.649155956582
|,"(| 2 longNumber)
",5203.718165040586,5213.338416441626
|,"(| 2 medNumber)
",5124.284641978089,5089.896421337607
|,"(| 2 smallNumber)
",5156.197349208072,5098.194018915969
~,"(~ longNumber)
",5313.709886003711,5297.495777067552
~,"(~ medNumber)
",5286.040237077755,5177.642999702682
~,"(~ smallNumber)
",5280.592245516115,5138.24091301393
