function,description,sqliteDbAverage (ns),mockDbAverage (ns)
=,"(= longNumber.0 longNumber.0)
",5641.691912290759,5645.38845134279
=,"(= medNumber.0 medNumber.0)
",5664.340976031014,5677.9002290140825
=,"(= smallNumber.0 smallNumber.0)
",5656.041674630931,5644.996912485577
=,"(= longString longString)
",6605.050655460515,6678.716949641828
=,"(= medString medString)
",5230.816881199342,5225.5613909997455
=,"(= smallString smallString)
",5631.252359831839,5646.544204118916
=,"(= longOjectMap longOjectMap)
",2.8359743132164225e7,2.8769935693267643e7
=,"(= medOjectMap medOjectMap)
",68344.6388666217,67837.45394264728
=,"(= smallOjectMap smallOjectMap)
",11935.73684955144,11940.299319372423
=,"(= longNumberList longNumberList)
",9104408.093457317,8928488.564314766
=,"(= medNumberList medNumberList)
",43494.16229850728,42890.2473775301
=,"(= smallNumberList smallNumberList)
",11144.273590406277,11249.337497894825
=,"(= (time ""2016-07-22T12:00:00Z"") (time ""2018-07-22T12:00:00Z""))
",13217.46259435472,13154.992644587515
>,"(> longNumber longNumber)
",5465.257488045187,5566.030392399846
>,"(> medNumber medNumber)
",5591.346866843436,5631.666325764956
>,"(> smallNumber smallNumber)
",5603.041424118713,5550.5760548383005
>,"(> longNumber.0 longNumber.0)
",5675.279817740153,5705.051885146418
>,"(> medNumber.0 medNumber.0)
",5724.684538990406,5692.022618442711
>,"(> smallNumber.0 smallNumber.0)
",5766.433533644096,5761.438768067083
>,"(> longString longString)
",31329.354404366983,32478.748489617952
>,"(> medString medString)
",5803.367471003175,5790.981299307497
>,"(> smallString smallString)
",5627.025736719693,5605.131157439783
>,"(> (time ""2016-07-22T12:00:00Z"") (time ""2018-07-22T12:00:00Z""))
",13437.410930443906,13559.420651088889
>=,"(>= longNumber longNumber)
",5722.699350195423,5708.495125489229
>=,"(>= medNumber medNumber)
",5744.788764968192,5686.037711878456
>=,"(>= smallNumber smallNumber)
",5698.985171077081,5695.449176366093
>=,"(>= longNumber.0 longNumber.0)
",5573.648444953622,5545.095642435091
>=,"(>= medNumber.0 medNumber.0)
",5525.332183711926,5515.741547693542
>=,"(>= smallNumber.0 smallNumber.0)
",5509.633329753172,5568.02813527536
>=,"(>= longString longString)
",32357.846007534066,32309.104791920952
>=,"(>= medString medString)
",5925.58577853048,5964.413721412898
>=,"(>= smallString smallString)
",5649.611189192204,5659.666615371584
>=,"(>= (time ""2016-07-22T12:00:00Z"") (time ""2018-07-22T12:00:00Z""))
",13643.447383340497,13324.620134579678
^,"(^ 2 longNumber)
",14767.905112122666,14871.34176443239
^,"(^ 2 medNumber)
",6276.540204173151,6326.231677302637
^,"(^ 2 smallNumber)
",5913.7656623031025,5850.743087235563
^,"(^ 2.1 longNumber.1)
",15667.508000102707,15755.393877191562
^,"(^ 2.1 medNumber.1)
",14758.681416868376,14196.189361020422
^,"(^ 2.1 smallNumber.1)
",18931.961990080545,19026.12415541316
^,"(^ 2.1 longNumber)
",14895.45488376602,15177.482001380966
^,"(^ 2.1 medNumber)
",13992.208924322376,13958.970756031626
^,"(^ 2.1 smallNumber)
",18931.68042512627,18994.009578923607
abs,"(abs -longNumber)
",5345.354939719705,5349.897632160228
abs,"(abs -medNumber)
",5369.032701410306,5320.629845213713
abs,"(abs -smallNumber)
",5304.092156072174,5326.439282829932
abs,"(abs -longNumber.0)
",5317.906449327242,5300.353736879021
abs,"(abs -medNumber.0)
",5266.301904924899,5261.593122897356
abs,"(abs -smallNumber.0)
",5309.223688959286,5355.2476171646695
add-time,"(add-time (time ""2016-07-22T12:00:00Z"") 15)
",10031.473281463663,10092.718853105305
and,"(and false true)
",5038.9616143382445,5020.482628679198
and?,"(and? (identity) (identity) true)
",6674.899405415618,6712.51854997717
at,"(at 9999 longEscapedStrList)
",2988762.1949262433,2997239.273000957
at,"(at 99 medEscapedStrList)
",22034.75847358732,21852.286221087717
at,"(at 9 smallEscapedStrList)
",8226.094253202938,8192.786239140392
at,"(at ""a1"" longOjectMap)
",8357199.876846847,8221371.313116063
at,"(at ""a1"" medOjectMap)
",31222.522212552925,30891.454237040685
at,"(at ""a1"" smallOjectMap)
",8442.756348569903,8322.48396882579
base64-decode,"(base64-encode ""aaaaaaaaaa"")
",5029.672335598184,5106.753411669421
base64-decode,"(base64-encode ""aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa"")
",5327.59861076114,5272.598317469295
