Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
compile/longStr 100,5.915706893676956e-6,5.844824833496129e-6,5.984844021273137e-6,2.450735895871672e-7,2.1578747867389548e-7,2.9095387112357407e-7
compile/longStr 1000,2.3659387229448625e-5,2.3349377970660005e-5,2.4139789100900173e-5,1.270686909950661e-6,9.778117897681548e-7,1.8184930287052974e-6
compile/(+ 1 2),3.473233721910463e-5,3.415746805994759e-5,3.54439212453607e-5,2.2188622605454582e-6,1.843054285684651e-6,3.2533116565852974e-6
compile/(+ 1 (+ 1 2)),7.293912301447938e-5,7.183438031084785e-5,7.391900713479323e-5,3.4928493231021015e-6,2.798462375955811e-6,4.69071881109198e-6
"compile/(demo.transfer ""Acct1"" ""Acct2"" 1.00)",3.96459061725634e-5,3.895069481863288e-5,4.054596997118338e-5,2.569284114513572e-6,1.838099063089252e-6,4.169131754259945e-6
compile/(+ 1 2) (foo.bar true -23.345875),6.868015338775005e-5,6.796733790429093e-5,6.956945624910811e-5,2.711975226265662e-6,2.3101424784195217e-6,3.250287540197626e-6
verify/longStr 10,1.0576336903230008e-4,1.0418809573852584e-4,1.0749543616577812e-4,5.464627287207066e-6,4.762655622549834e-6,6.500999481395197e-6
verify/longStr 100,1.2295025637296217e-4,1.2177566499401671e-4,1.2444128623594227e-4,4.4600170925094355e-6,3.6246180746545842e-6,5.614260320862165e-6
verify/longStr 1000,2.740038195016321e-4,2.7075928829236456e-4,2.7719970531745093e-4,1.079307973329094e-5,8.889302470135617e-6,1.4169149819581443e-5
verify/(+ 1 2),1.5857974959616937e-4,1.5703938231279363e-4,1.5987604939771187e-4,4.690103224939882e-6,3.938961367948134e-6,5.657349706457121e-6
verify/(+ 1 (+ 1 2)),2.046587864008861e-4,2.0225573200472567e-4,2.0775604164000592e-4,9.12264870486503e-6,7.685563921202739e-6,1.092906291479993e-5
"verify/(demo.transfer ""Acct1"" ""Acct2"" 1.00)",1.6460775896613066e-4,1.625679721217474e-4,1.6698922238677575e-4,7.6340032529408e-6,6.125950258654726e-6,1.0738288073043994e-5
verify/(+ 1 2) (foo.bar true -23.345875),2.2268191256806288e-4,2.196838277834902e-4,2.268151214535071e-4,1.2115346620163031e-5,9.200281161249718e-6,1.927303400133038e-5
puredb,4.629622111781414e-4,4.5217318152963914e-4,4.761030409454207e-4,4.042148969959306e-5,3.2729632680926534e-5,5.3528356028110605e-5
mockdb,3.5579686989688913e-4,3.48582008306715e-4,3.637934414231256e-4,2.5649970532858332e-5,2.1535964411293124e-5,3.4410740117146895e-5
mockpersist,3.8411819084749744e-4,3.771236976972331e-4,3.925512949081407e-4,2.5314535557584705e-5,1.9997139921239886e-5,3.172246656779657e-5
sqlite,1.0944602821231575e-2,1.0702336979703445e-2,1.1456155280080529e-2,9.265697897055067e-4,5.086086224033063e-4,1.7136283716202398e-3
puredb-withmod,3.021760192042246e-4,2.9751973275141705e-4,3.0603924832858917e-4,1.405627590181086e-5,1.114002254423068e-5,1.776175194407522e-5
mockdb-withmod,2.116827937068e-4,2.088097552138235e-4,2.1569351843790427e-4,1.1887486711985581e-5,9.812836858334795e-6,1.6575135425854148e-5
mockpersist-withmod,2.6894839430606526e-4,2.653960479369645e-4,2.728957703568634e-4,1.290734690413963e-5,1.050567813242289e-5,1.6313267096224005e-5
sqlite-withmod,1.5239846726945393e-3,1.491064202441478e-3,1.579584047380636e-3,1.4166024952529314e-4,1.020196947689556e-4,1.872643310212721e-4
